"","var_name","question_text"
"1","gender","<U+FFFD>  What is your gender "
"2","gender_other","other"
"3","gender_other_type","If other  please specify"
"4","age","How old are you   years old "
"5","country_origin","What is your country of origin "
"6","ethnicity","What is your race or ethnicity "
"7","ethnicity_other","If other  please specify 1"
"8","chinese_lang","Do you understand Chinese "
"9","native_lang","What is your native language "
"10","native_lang_other","If other  please specify 2"
"11","religion","What is your religion "
"12","religion_other","If other  please specify 3"
"13","religion_attendance","Do you attend to religious activities "
"14","marital_status","What is your current marital status "
"15","education_level","What is the highest degree or level of education you have completed "
"16","university","What is the current University you are studying in "
"17","degree_persue","What degree are you pursuing "
"18","degree_persue_other","If other  please specify 4"
"19","health_background","Do you have any health related education background "
"20","health_background_type","If yes  Please specify"
"21","months_in_taiwan","How long have you been in Taiwan   Months "
"22","living_arrangmnts","Which one of the statements below best describes your living arrangements "
"23","comordidities","Do you have any chronic diseases   e g  diabetes  chronic renal insufficiency  etc  "
"24","comordidities_type","If yes  please specify"
"25","symptoms","Have you had the following symptoms in the last two weeks   Select all that apply  "
"26","info_source","Which source s  of information you access the most to learn about COVID 19   Select all that apply  "
"27","info_source_type","If others  please specify"
"28","opn_Iknowenough","Please select a proper perception toward the following questions    I have sufficient knowledge of  prevention and management for  COVID 19 "
"29","opn_feverless_transm","Please select a proper perception toward the following questions    People infected with SARS CoV 2  virus causing COVID 19  cannot transmit the virus to others if fever is not present  "
"30","opn_onlycough_transm","Please select a proper perception toward the following questions    SARS CoV 2  Virus causing COVID 19  spreads through respiratory droplets only when infected people cough and sneeze "
"31","opn_fomite_transm","Please select a proper perception toward the following questions    COVID 19 can be contracted by touching one<U+FFFD>  s mouth  nose or perhaps  eyes after contacting a surface or object  on which the virus is attached"
"32","opn_mask_effect","Please select a proper perception toward the following questions    The general population can wear  medical  surgical  masks to help prevent the COVID 19"
"33","opn_isolate_effect","Please select a proper perception toward the following questions    Isolation of people with COVID 19 is an effective way to reduce the spread of virus "
"34","opn_quarantine_good","Please select a proper perception toward the following questions    People in contact with someone with COVID 19 should be immediately quarantined and observed  in an appropriate location  for at least 14 days "
